respondent_id,age,county,primary_preference,app_interest,weekend_preference,monthly_activity_budget
484,35,Miami-Dade County,Day Weekend Activities,High,Nighttime,250
485,30,Miami-Dade County,Trips Outside Miami,High,Both,274
486,34,Miami-Dade County,Trips Outside Miami,Medium,Daytime,91
487,35,Miami-Dade County,Day Weekend Activities,High,Nighttime,274
488,33,Miami-Dade County,Trips Outside Miami,High,Daytime,362
489,34,Miami-Dade County,Day Weekend Activities,Medium,Both,261
490,30,Miami-Dade County,Day Weekend Activities,Medium,Daytime,384
491,35,Miami-Dade County,Day Weekend Activities,High,Daytime,223
492,35,Miami-Dade County,Day Weekend Activities,High,Nighttime,395
493,35,Miami-Dade County,Fitness,High,Both,261
494,33,Miami-Dade County,Trips Outside Miami,High,Daytime,109
495,34,Miami-Dade County,Trips Outside Miami,High,Both,163
496,33,Miami-Dade County,Fitness,Medium,Daytime,245
497,31,Miami-Dade County,Trips Outside Miami,Medium,Daytime,363
498,31,Miami-Dade County,Fitness,Medium,Daytime,360
499,34,Miami-Dade County,Beach,High,Daytime,175
500,33,Miami-Dade County,Day Weekend Activities,Medium,Nighttime,345
501,30,Miami-Dade County,Fitness,High,Daytime,377
502,35,Miami-Dade County,Trips Outside Miami,Low,Daytime,375
503,35,Miami-Dade County,Trips Outside Miami,Medium,Both,304
504,34,Miami-Dade County,Beach,High,Daytime,121
505,31,Miami-Dade County,Fitness,Medium,Both,382
506,31,Miami-Dade County,Fitness,High,Daytime,325
507,35,Miami-Dade County,Day Weekend Activities,Medium,Nighttime,287
508,34,Miami-Dade County,Nightlife,High,Daytime,316
509,33,Miami-Dade County,Day Weekend Activities,High,Daytime,101
510,31,Miami-Dade County,Fitness,Low,Daytime,264
511,33,Miami-Dade County,Day Weekend Activities,High,Daytime,321
512,31,Miami-Dade County,Beach,Medium,Daytime,362
513,31,Miami-Dade County,Trips Outside Miami,High,Nighttime,120
514,32,Miami-Dade County,Fitness,Medium,Both,241
515,31,Miami-Dade County,Trips Outside Miami,Medium,Both,239
516,30,Miami-Dade County,Beach,High,Nighttime,168
517,34,Miami-Dade County,Nightlife,High,Daytime,91
518,34,Miami-Dade County,Beach,High,Daytime,152
519,33,Miami-Dade County,Day Weekend Activities,High,Daytime,155
520,31,Miami-Dade County,Nightlife,High,Daytime,280
521,30,Miami-Dade County,Fitness,Medium,Nighttime,89
522,33,Miami-Dade County,Nightlife,Low,Nighttime,305
523,32,Miami-Dade County,Day Weekend Activities,Low,Daytime,255
524,33,Miami-Dade County,Fitness,Medium,Daytime,355
525,33,Miami-Dade County,Fitness,Medium,Both,118
526,31,Miami-Dade County,Day Weekend Activities,Medium,Both,139
527,32,Miami-Dade County,Fitness,High,Daytime,145
528,33,Miami-Dade County,Day Weekend Activities,Low,Both,400
529,30,Miami-Dade County,Beach,Medium,Both,203
530,30,Miami-Dade County,Day Weekend Activities,Medium,Daytime,243
531,34,Miami-Dade County,Fitness,High,Daytime,238
532,32,Miami-Dade County,Trips Outside Miami,High,Nighttime,136
533,32,Miami-Dade County,Nightlife,High,Both,157
534,34,Miami-Dade County,Nightlife,Low,Both,273
535,33,Miami-Dade County,Day Weekend Activities,High,Daytime,364
536,32,Miami-Dade County,Fitness,High,Daytime,94
537,30,Miami-Dade County,Day Weekend Activities,Low,Nighttime,91
538,30,Miami-Dade County,Fitness,High,Nighttime,180
539,31,Miami-Dade County,Fitness,High,Daytime,235
540,32,Miami-Dade County,Beach,High,Both,204
541,33,Miami-Dade County,Beach,Medium,Nighttime,359
542,34,Miami-Dade County,Trips Outside Miami,Low,Both,189
543,34,Miami-Dade County,Day Weekend Activities,High,Both,225
544,33,Miami-Dade County,Beach,Low,Both,295
545,35,Miami-Dade County,Fitness,High,Daytime,241
546,31,Miami-Dade County,Nightlife,Low,Nighttime,207
547,34,Miami-Dade County,Beach,Medium,Daytime,393
548,32,Miami-Dade County,Beach,Medium,Nighttime,229
549,31,Miami-Dade County,Fitness,High,Daytime,115
550,32,Miami-Dade County,Trips Outside Miami,Low,Nighttime,252
551,30,Miami-Dade County,Day Weekend Activities,Medium,Daytime,101
552,31,Miami-Dade County,Fitness,High,Daytime,285
553,34,Miami-Dade County,Fitness,Medium,Daytime,206
554,31,Miami-Dade County,Day Weekend Activities,High,Daytime,296
555,31,Miami-Dade County,Day Weekend Activities,Low,Both,175
556,31,Miami-Dade County,Fitness,High,Both,243
557,35,Miami-Dade County,Nightlife,Medium,Nighttime,227
558,31,Miami-Dade County,Fitness,High,Daytime,97
559,32,Miami-Dade County,Beach,High,Daytime,373
560,30,Miami-Dade County,Nightlife,High,Daytime,274
561,33,Miami-Dade County,Beach,High,Daytime,230
562,31,Miami-Dade County,Day Weekend Activities,High,Both,202
563,34,Miami-Dade County,Beach,High,Daytime,266
564,31,Miami-Dade County,Fitness,Medium,Daytime,228
565,34,Miami-Dade County,Nightlife,High,Daytime,183
566,32,Miami-Dade County,Beach,High,Daytime,322
567,34,Miami-Dade County,Trips Outside Miami,Medium,Nighttime,310
568,33,Miami-Dade County,Fitness,High,Nighttime,285
569,30,Miami-Dade County,Fitness,Low,Daytime,277
570,34,Miami-Dade County,Fitness,Low,Daytime,166
571,34,Miami-Dade County,Day Weekend Activities,Medium,Daytime,221
572,30,Miami-Dade County,Beach,Medium,Daytime,396
573,33,Miami-Dade County,Trips Outside Miami,Low,Daytime,278
574,31,Miami-Dade County,Beach,High,Both,125
575,34,Miami-Dade County,Nightlife,High,Nighttime,367
576,30,Miami-Dade County,Fitness,High,Nighttime,94
577,32,Miami-Dade County,Trips Outside Miami,Medium,Daytime,123
578,30,Miami-Dade County,Trips Outside Miami,High,Daytime,248
579,32,Miami-Dade County,Trips Outside Miami,Medium,Nighttime,389
580,33,Miami-Dade County,Trips Outside Miami,Low,Nighttime,123
581,31,Miami-Dade County,Trips Outside Miami,Low,Both,177
582,30,Miami-Dade County,Day Weekend Activities,High,Daytime,340
583,35,Miami-Dade County,Fitness,High,Nighttime,188
584,34,Miami-Dade County,Fitness,Medium,Daytime,362
585,33,Miami-Dade County,Nightlife,Medium,Both,183
586,30,Miami-Dade County,Day Weekend Activities,High,Nighttime,335
587,34,Miami-Dade County,Trips Outside Miami,High,Nighttime,285
588,30,Miami-Dade County,Beach,Low,Daytime,122
589,32,Miami-Dade County,Fitness,Medium,Nighttime,324
590,30,Miami-Dade County,Fitness,Medium,Daytime,366
591,35,Miami-Dade County,Day Weekend Activities,Low,Daytime,352
592,30,Miami-Dade County,Beach,Medium,Daytime,162
593,30,Miami-Dade County,Fitness,High,Nighttime,189
594,35,Miami-Dade County,Beach,High,Daytime,269
595,33,Miami-Dade County,Fitness,High,Daytime,367
596,30,Miami-Dade County,Day Weekend Activities,High,Both,330
597,35,Miami-Dade County,Fitness,Medium,Daytime,291
598,34,Miami-Dade County,Trips Outside Miami,Medium,Nighttime,370
599,32,Miami-Dade County,Fitness,Low,Daytime,212
600,32,Miami-Dade County,Beach,High,Daytime,280
601,30,Miami-Dade County,Fitness,Medium,Both,364
602,33,Miami-Dade County,Fitness,Medium,Daytime,174
603,33,Miami-Dade County,Beach,Medium,Daytime,357
604,34,Miami-Dade County,Beach,Medium,Nighttime,298
605,30,Miami-Dade County,Day Weekend Activities,High,Nighttime,168
606,32,Miami-Dade County,Fitness,High,Nighttime,151
607,33,Miami-Dade County,Day Weekend Activities,High,Daytime,326
608,30,Miami-Dade County,Trips Outside Miami,High,Daytime,208
609,33,Miami-Dade County,Trips Outside Miami,High,Both,291
610,35,Miami-Dade County,Fitness,Medium,Nighttime,175
611,33,Miami-Dade County,Beach,Low,Both,154
612,32,Miami-Dade County,Fitness,Medium,Both,133
613,31,Miami-Dade County,Fitness,Medium,Both,133
614,34,Miami-Dade County,Nightlife,High,Daytime,297
615,34,Miami-Dade County,Fitness,Medium,Daytime,95
616,32,Miami-Dade County,Beach,High,Both,178
617,33,Miami-Dade County,Day Weekend Activities,High,Daytime,99
618,30,Miami-Dade County,Day Weekend Activities,High,Daytime,125
619,33,Miami-Dade County,Beach,High,Both,272
620,32,Miami-Dade County,Fitness,High,Both,137
621,34,Miami-Dade County,Beach,High,Daytime,190
622,33,Miami-Dade County,Beach,High,Daytime,208
623,34,Miami-Dade County,Fitness,Low,Daytime,273
624,30,Miami-Dade County,Beach,High,Both,87
625,34,Miami-Dade County,Fitness,High,Both,108
626,34,Miami-Dade County,Fitness,High,Daytime,191
627,31,Miami-Dade County,Beach,Medium,Daytime,240
628,31,Miami-Dade County,Fitness,High,Both,210
629,35,Miami-Dade County,Beach,High,Daytime,267
630,31,Miami-Dade County,Day Weekend Activities,High,Nighttime,242
631,34,Miami-Dade County,Trips Outside Miami,High,Both,276
632,32,Miami-Dade County,Fitness,High,Daytime,283
633,34,Miami-Dade County,Fitness,High,Nighttime,291
634,32,Miami-Dade County,Fitness,High,Daytime,188
635,32,Miami-Dade County,Day Weekend Activities,High,Daytime,355
636,31,Miami-Dade County,Day Weekend Activities,High,Both,152
637,33,Miami-Dade County,Fitness,Medium,Daytime,246
638,30,Miami-Dade County,Nightlife,Medium,Both,339
639,31,Miami-Dade County,Fitness,High,Nighttime,322
640,31,Miami-Dade County,Beach,High,Daytime,354
641,33,Miami-Dade County,Day Weekend Activities,Low,Daytime,181
642,30,Miami-Dade County,Trips Outside Miami,High,Daytime,252
643,34,Miami-Dade County,Day Weekend Activities,High,Daytime,250
644,35,Miami-Dade County,Trips Outside Miami,Medium,Daytime,220
645,35,Miami-Dade County,Beach,High,Daytime,267
646,34,Miami-Dade County,Trips Outside Miami,High,Daytime,165
647,31,Miami-Dade County,Fitness,High,Both,131
648,30,Miami-Dade County,Trips Outside Miami,Low,Nighttime,190
649,31,Miami-Dade County,Beach,High,Both,122
650,32,Miami-Dade County,Trips Outside Miami,Medium,Daytime,290
651,31,Miami-Dade County,Beach,Low,Daytime,279
652,31,Miami-Dade County,Day Weekend Activities,High,Nighttime,377
653,34,Miami-Dade County,Beach,High,Daytime,319
654,34,Miami-Dade County,Day Weekend Activities,High,Daytime,194
655,34,Miami-Dade County,Fitness,High,Both,105
656,35,Miami-Dade County,Fitness,High,Both,378
657,32,Miami-Dade County,Fitness,Low,Nighttime,156
658,34,Miami-Dade County,Fitness,Medium,Daytime,216
659,30,Miami-Dade County,Trips Outside Miami,Medium,Both,99
660,35,Miami-Dade County,Fitness,High,Nighttime,290
661,33,Miami-Dade County,Nightlife,Medium,Both,319
662,30,Miami-Dade County,Beach,Low,Both,118
663,30,Miami-Dade County,Fitness,Medium,Both,347
664,34,Miami-Dade County,Trips Outside Miami,High,Nighttime,286
665,33,Miami-Dade County,Day Weekend Activities,Medium,Daytime,346
666,33,Miami-Dade County,Beach,High,Nighttime,233
667,35,Miami-Dade County,Beach,High,Nighttime,121
668,33,Miami-Dade County,Day Weekend Activities,High,Both,90
669,32,Miami-Dade County,Fitness,Medium,Daytime,373
670,34,Miami-Dade County,Nightlife,Medium,Daytime,177
671,33,Miami-Dade County,Nightlife,High,Both,354
672,35,Miami-Dade County,Day Weekend Activities,High,Both,309
673,32,Miami-Dade County,Fitness,High,Both,299
674,31,Miami-Dade County,Day Weekend Activities,High,Both,144
675,31,Miami-Dade County,Fitness,High,Nighttime,311
676,32,Miami-Dade County,Fitness,High,Nighttime,131
677,35,Miami-Dade County,Fitness,Medium,Both,342
678,32,Miami-Dade County,Beach,High,Nighttime,346
679,34,Miami-Dade County,Trips Outside Miami,High,Nighttime,396
680,34,Miami-Dade County,Day Weekend Activities,High,Daytime,233
681,31,Miami-Dade County,Day Weekend Activities,Low,Daytime,219
682,33,Miami-Dade County,Beach,Medium,Both,130
683,35,Miami-Dade County,Beach,Medium,Daytime,196
684,31,Miami-Dade County,Beach,High,Daytime,125
685,33,Miami-Dade County,Nightlife,Medium,Daytime,388
686,33,Miami-Dade County,Fitness,High,Daytime,167
687,34,Miami-Dade County,Trips Outside Miami,Medium,Daytime,287
688,30,Miami-Dade County,Day Weekend Activities,Low,Daytime,348
689,30,Miami-Dade County,Beach,Medium,Both,168
690,32,Miami-Dade County,Day Weekend Activities,Low,Nighttime,197
691,34,Miami-Dade County,Beach,Medium,Daytime,133
692,33,Miami-Dade County,Trips Outside Miami,High,Daytime,195
693,35,Miami-Dade County,Nightlife,Low,Nighttime,197
694,30,Miami-Dade County,Beach,High,Daytime,339
695,33,Miami-Dade County,Fitness,High,Both,154
696,30,Miami-Dade County,Day Weekend Activities,High,Nighttime,384
697,30,Miami-Dade County,Nightlife,High,Both,86
698,30,Miami-Dade County,Fitness,High,Daytime,201
699,35,Miami-Dade County,Day Weekend Activities,High,Nighttime,90
700,34,Miami-Dade County,Day Weekend Activities,High,Daytime,294
701,35,Miami-Dade County,Day Weekend Activities,Medium,Both,358
702,31,Miami-Dade County,Fitness,High,Nighttime,107
703,33,Miami-Dade County,Day Weekend Activities,High,Daytime,314
704,34,Miami-Dade County,Nightlife,Medium,Daytime,392
705,34,Miami-Dade County,Fitness,High,Daytime,105
706,34,Miami-Dade County,Fitness,Medium,Nighttime,133
707,34,Miami-Dade County,Nightlife,Medium,Daytime,108
708,35,Miami-Dade County,Fitness,Medium,Nighttime,243
709,34,Miami-Dade County,Trips Outside Miami,Medium,Daytime,349
710,32,Miami-Dade County,Beach,High,Nighttime,114
711,33,Miami-Dade County,Fitness,Medium,Both,365
712,34,Miami-Dade County,Trips Outside Miami,High,Both,352
713,33,Miami-Dade County,Beach,High,Both,287
714,32,Miami-Dade County,Beach,Medium,Daytime,317
715,32,Miami-Dade County,Beach,High,Daytime,172
716,33,Miami-Dade County,Day Weekend Activities,Medium,Nighttime,252
717,30,Miami-Dade County,Fitness,Medium,Daytime,158
718,31,Miami-Dade County,Beach,Low,Daytime,189
719,30,Miami-Dade County,Nightlife,Low,Daytime,296
720,30,Miami-Dade County,Fitness,High,Daytime,185
721,35,Miami-Dade County,Day Weekend Activities,High,Daytime,126
722,30,Miami-Dade County,Beach,Medium,Both,260
723,34,Miami-Dade County,Trips Outside Miami,High,Daytime,143
724,35,Miami-Dade County,Fitness,Medium,Nighttime,325
725,35,Miami-Dade County,Nightlife,Medium,Daytime,323
726,32,Miami-Dade County,Beach,Medium,Nighttime,399
727,30,Miami-Dade County,Fitness,High,Daytime,166
728,32,Miami-Dade County,Fitness,High,Both,296
729,33,Miami-Dade County,Fitness,High,Both,86
730,31,Miami-Dade County,Beach,High,Daytime,357
731,35,Miami-Dade County,Beach,Low,Both,289
732,33,Miami-Dade County,Trips Outside Miami,High,Both,248
733,33,Miami-Dade County,Beach,High,Both,217
734,34,Miami-Dade County,Fitness,High,Both,385
735,31,Miami-Dade County,Day Weekend Activities,Medium,Daytime,309
736,33,Miami-Dade County,Day Weekend Activities,Medium,Nighttime,387
737,33,Miami-Dade County,Fitness,High,Daytime,240
738,31,Miami-Dade County,Fitness,High,Daytime,80
739,31,Miami-Dade County,Fitness,High,Both,315
740,33,Miami-Dade County,Day Weekend Activities,High,Daytime,267
741,31,Miami-Dade County,Day Weekend Activities,Medium,Both,83
742,33,Miami-Dade County,Beach,Medium,Both,211
743,33,Miami-Dade County,Trips Outside Miami,High,Both,297
744,34,Miami-Dade County,Trips Outside Miami,High,Both,339
745,30,Miami-Dade County,Day Weekend Activities,Low,Daytime,80
746,33,Miami-Dade County,Trips Outside Miami,High,Daytime,150
747,32,Miami-Dade County,Fitness,Medium,Daytime,257
748,35,Miami-Dade County,Fitness,High,Daytime,268
749,30,Miami-Dade County,Fitness,High,Daytime,370
750,30,Miami-Dade County,Fitness,High,Daytime,87
751,30,Miami-Dade County,Beach,High,Both,332
752,34,Miami-Dade County,Nightlife,Low,Nighttime,371
753,33,Miami-Dade County,Fitness,High,Daytime,323
754,34,Miami-Dade County,Fitness,High,Nighttime,202
755,33,Miami-Dade County,Beach,High,Daytime,378
756,34,Miami-Dade County,Nightlife,High,Daytime,362
757,34,Miami-Dade County,Fitness,High,Both,111
758,35,Miami-Dade County,Beach,High,Nighttime,225
759,32,Miami-Dade County,Fitness,Medium,Both,235
760,34,Miami-Dade County,Fitness,High,Daytime,95
761,35,Miami-Dade County,Nightlife,High,Both,126
762,31,Miami-Dade County,Nightlife,Low,Nighttime,330
763,32,Miami-Dade County,Fitness,High,Nighttime,266
764,34,Miami-Dade County,Nightlife,Low,Nighttime,110
765,30,Miami-Dade County,Day Weekend Activities,High,Both,339
766,31,Miami-Dade County,Trips Outside Miami,Low,Nighttime,96
767,31,Miami-Dade County,Beach,Medium,Nighttime,118
768,35,Miami-Dade County,Beach,Medium,Both,383
769,31,Miami-Dade County,Beach,Low,Both,118
770,32,Miami-Dade County,Day Weekend Activities,High,Daytime,211
771,34,Miami-Dade County,Fitness,Low,Both,109
772,34,Miami-Dade County,Fitness,High,Daytime,237
773,30,Miami-Dade County,Fitness,High,Daytime,357
774,35,Miami-Dade County,Day Weekend Activities,High,Nighttime,282
775,30,Miami-Dade County,Fitness,High,Both,145
776,31,Miami-Dade County,Day Weekend Activities,High,Both,187
777,30,Miami-Dade County,Nightlife,Medium,Daytime,347
778,32,Miami-Dade County,Fitness,High,Nighttime,301
779,34,Miami-Dade County,Day Weekend Activities,Medium,Daytime,371
780,31,Miami-Dade County,Beach,Medium,Both,97
781,30,Miami-Dade County,Trips Outside Miami,High,Both,169
782,35,Miami-Dade County,Fitness,High,Nighttime,260
783,32,Miami-Dade County,Day Weekend Activities,High,Both,334
784,32,Miami-Dade County,Trips Outside Miami,High,Both,332
785,30,Miami-Dade County,Nightlife,High,Nighttime,336
786,34,Miami-Dade County,Day Weekend Activities,High,Daytime,166
787,30,Miami-Dade County,Beach,High,Daytime,169
788,31,Miami-Dade County,Day Weekend Activities,Low,Nighttime,316
789,30,Miami-Dade County,Trips Outside Miami,Medium,Nighttime,149
790,32,Miami-Dade County,Day Weekend Activities,High,Daytime,123
791,30,Miami-Dade County,Fitness,Medium,Both,279
792,34,Miami-Dade County,Nightlife,High,Daytime,231
793,35,Miami-Dade County,Day Weekend Activities,High,Nighttime,165
794,33,Miami-Dade County,Day Weekend Activities,Medium,Nighttime,98
795,30,Miami-Dade County,Fitness,High,Nighttime,180
796,34,Miami-Dade County,Day Weekend Activities,High,Nighttime,174
797,34,Miami-Dade County,Beach,Low,Daytime,333
798,35,Miami-Dade County,Day Weekend Activities,Low,Daytime,109
799,32,Miami-Dade County,Fitness,Medium,Nighttime,328
800,34,Miami-Dade County,Day Weekend Activities,Medium,Nighttime,112
801,34,Miami-Dade County,Nightlife,Medium,Daytime,308
802,34,Miami-Dade County,Fitness,High,Both,91
803,34,Miami-Dade County,Nightlife,High,Daytime,197
804,31,Miami-Dade County,Beach,High,Nighttime,234
805,31,Miami-Dade County,Trips Outside Miami,High,Both,325
806,32,Miami-Dade County,Trips Outside Miami,High,Daytime,326
807,30,Miami-Dade County,Beach,High,Daytime,108
808,34,Miami-Dade County,Day Weekend Activities,Low,Both,240
809,35,Miami-Dade County,Trips Outside Miami,Low,Nighttime,314
810,30,Miami-Dade County,Beach,Medium,Nighttime,269
811,35,Miami-Dade County,Beach,High,Both,196
812,30,Miami-Dade County,Day Weekend Activities,Low,Both,350
813,32,Miami-Dade County,Trips Outside Miami,High,Both,337
814,34,Miami-Dade County,Trips Outside Miami,Medium,Nighttime,259
815,34,Miami-Dade County,Trips Outside Miami,High,Daytime,251
816,33,Miami-Dade County,Beach,Medium,Daytime,353
817,35,Miami-Dade County,Trips Outside Miami,High,Daytime,338
818,30,Miami-Dade County,Fitness,Low,Nighttime,214
819,30,Miami-Dade County,Beach,Low,Daytime,250
820,31,Miami-Dade County,Fitness,High,Both,289
821,33,Miami-Dade County,Beach,High,Nighttime,315
822,31,Miami-Dade County,Beach,Low,Nighttime,265
823,31,Miami-Dade County,Beach,High,Daytime,174
824,31,Miami-Dade County,Day Weekend Activities,Low,Daytime,90
825,35,Miami-Dade County,Beach,Medium,Daytime,147
826,35,Miami-Dade County,Beach,High,Daytime,289
827,32,Miami-Dade County,Fitness,High,Daytime,275
828,32,Miami-Dade County,Beach,High,Nighttime,177
829,31,Miami-Dade County,Fitness,Medium,Both,172
830,33,Miami-Dade County,Fitness,High,Both,101
831,30,Miami-Dade County,Day Weekend Activities,High,Nighttime,251
832,35,Miami-Dade County,Day Weekend Activities,High,Daytime,213
833,33,Miami-Dade County,Day Weekend Activities,Medium,Both,104
834,34,Miami-Dade County,Beach,Low,Both,264
835,35,Miami-Dade County,Beach,Low,Daytime,164
836,35,Miami-Dade County,Trips Outside Miami,High,Both,134
837,32,Miami-Dade County,Beach,Medium,Daytime,330
838,30,Miami-Dade County,Beach,Medium,Both,223
839,30,Miami-Dade County,Fitness,Medium,Both,246
840,34,Miami-Dade County,Beach,Low,Daytime,303
841,34,Miami-Dade County,Beach,High,Both,299
842,35,Miami-Dade County,Beach,High,Nighttime,258
843,31,Miami-Dade County,Day Weekend Activities,Low,Both,198
844,32,Miami-Dade County,Beach,High,Daytime,344
845,32,Miami-Dade County,Day Weekend Activities,Medium,Both,229
846,35,Miami-Dade County,Trips Outside Miami,Low,Daytime,294
847,33,Miami-Dade County,Trips Outside Miami,High,Daytime,276
848,31,Miami-Dade County,Day Weekend Activities,Low,Daytime,121
849,35,Miami-Dade County,Nightlife,High,Both,132
850,31,Miami-Dade County,Fitness,High,Both,330
851,31,Miami-Dade County,Fitness,Medium,Both,374
852,31,Miami-Dade County,Fitness,Low,Both,350
853,35,Miami-Dade County,Day Weekend Activities,High,Daytime,202
854,32,Miami-Dade County,Trips Outside Miami,High,Daytime,345
855,32,Miami-Dade County,Fitness,Medium,Daytime,108
856,31,Miami-Dade County,Nightlife,Medium,Daytime,114
857,33,Miami-Dade County,Fitness,Medium,Daytime,85
858,30,Miami-Dade County,Nightlife,High,Daytime,190
859,35,Miami-Dade County,Beach,High,Daytime,373
860,30,Miami-Dade County,Fitness,High,Daytime,156
861,33,Miami-Dade County,Beach,Medium,Daytime,226
862,35,Miami-Dade County,Fitness,High,Daytime,146
863,31,Miami-Dade County,Fitness,High,Both,87
864,32,Miami-Dade County,Fitness,Low,Both,201
865,30,Miami-Dade County,Trips Outside Miami,High,Both,254
866,34,Miami-Dade County,Beach,Low,Daytime,258
867,34,Miami-Dade County,Fitness,Medium,Daytime,164
868,33,Miami-Dade County,Day Weekend Activities,Medium,Both,124
869,31,Miami-Dade County,Day Weekend Activities,High,Daytime,215
870,30,Miami-Dade County,Fitness,High,Daytime,95
871,31,Miami-Dade County,Beach,Medium,Daytime,274
872,30,Miami-Dade County,Fitness,Medium,Daytime,88
873,33,Miami-Dade County,Fitness,Medium,Daytime,395
874,33,Miami-Dade County,Day Weekend Activities,High,Daytime,94
875,34,Miami-Dade County,Fitness,Medium,Nighttime,181
876,31,Miami-Dade County,Beach,Medium,Daytime,305
877,35,Miami-Dade County,Day Weekend Activities,Medium,Daytime,357
878,34,Miami-Dade County,Fitness,Medium,Both,192
879,31,Miami-Dade County,Beach,Medium,Daytime,80
880,34,Miami-Dade County,Fitness,Medium,Daytime,345
881,35,Miami-Dade County,Nightlife,High,Both,287
882,32,Miami-Dade County,Beach,High,Daytime,189
883,32,Miami-Dade County,Trips Outside Miami,High,Daytime,279
884,32,Miami-Dade County,Beach,High,Daytime,385
885,32,Miami-Dade County,Fitness,High,Daytime,91
886,30,Miami-Dade County,Day Weekend Activities,High,Nighttime,267
887,32,Miami-Dade County,Nightlife,High,Both,233
888,35,Miami-Dade County,Day Weekend Activities,High,Daytime,358
889,33,Miami-Dade County,Trips Outside Miami,Medium,Nighttime,250
890,33,Miami-Dade County,Trips Outside Miami,Low,Nighttime,213
891,30,Miami-Dade County,Fitness,High,Daytime,104
892,32,Miami-Dade County,Fitness,Low,Nighttime,97
893,32,Miami-Dade County,Day Weekend Activities,High,Daytime,269
894,32,Miami-Dade County,Beach,High,Daytime,220
895,34,Miami-Dade County,Trips Outside Miami,High,Daytime,122
896,31,Miami-Dade County,Nightlife,High,Daytime,363
897,34,Miami-Dade County,Beach,Medium,Daytime,225
898,31,Miami-Dade County,Fitness,Medium,Both,394
899,32,Miami-Dade County,Trips Outside Miami,High,Daytime,398
900,32,Miami-Dade County,Fitness,High,Daytime,171
901,34,Miami-Dade County,Trips Outside Miami,High,Daytime,258
902,34,Miami-Dade County,Beach,High,Both,135
903,31,Miami-Dade County,Day Weekend Activities,High,Nighttime,234
904,33,Miami-Dade County,Fitness,High,Nighttime,239
905,31,Miami-Dade County,Day Weekend Activities,Medium,Both,190
906,34,Miami-Dade County,Beach,Low,Both,216
907,35,Miami-Dade County,Day Weekend Activities,High,Daytime,311
908,34,Miami-Dade County,Fitness,Low,Nighttime,299
909,35,Miami-Dade County,Day Weekend Activities,High,Both,147
910,30,Miami-Dade County,Trips Outside Miami,High,Both,381
911,34,Miami-Dade County,Fitness,High,Both,328
912,30,Miami-Dade County,Fitness,Medium,Daytime,85
913,33,Miami-Dade County,Fitness,Low,Daytime,359
914,31,Miami-Dade County,Day Weekend Activities,Medium,Daytime,173
915,35,Miami-Dade County,Day Weekend Activities,High,Both,348
916,31,Miami-Dade County,Beach,Medium,Daytime,276
917,30,Miami-Dade County,Fitness,High,Daytime,104
918,35,Miami-Dade County,Beach,Low,Both,227
919,31,Miami-Dade County,Day Weekend Activities,High,Daytime,197
920,34,Miami-Dade County,Beach,High,Both,145
921,32,Miami-Dade County,Nightlife,Medium,Daytime,380
922,30,Miami-Dade County,Fitness,Medium,Daytime,254
923,31,Miami-Dade County,Day Weekend Activities,High,Daytime,398
924,30,Miami-Dade County,Beach,Medium,Both,155
925,30,Miami-Dade County,Beach,High,Daytime,193
926,35,Miami-Dade County,Day Weekend Activities,Medium,Daytime,190
927,35,Miami-Dade County,Day Weekend Activities,Medium,Both,328
928,32,Miami-Dade County,Nightlife,Medium,Daytime,282
929,34,Miami-Dade County,Fitness,Medium,Nighttime,226
930,30,Miami-Dade County,Fitness,High,Nighttime,114
931,31,Miami-Dade County,Day Weekend Activities,High,Daytime,388
932,33,Miami-Dade County,Day Weekend Activities,Medium,Nighttime,105
933,30,Miami-Dade County,Fitness,High,Daytime,317
934,30,Miami-Dade County,Fitness,High,Nighttime,93
935,32,Miami-Dade County,Fitness,High,Daytime,124
936,34,Miami-Dade County,Trips Outside Miami,High,Nighttime,295
937,33,Miami-Dade County,Fitness,Medium,Daytime,312
938,35,Miami-Dade County,Beach,High,Nighttime,272
939,35,Miami-Dade County,Fitness,Medium,Daytime,130
940,31,Miami-Dade County,Beach,High,Daytime,293
941,33,Miami-Dade County,Fitness,High,Daytime,230
942,35,Miami-Dade County,Beach,High,Daytime,354
943,31,Miami-Dade County,Fitness,High,Both,155
944,34,Miami-Dade County,Trips Outside Miami,High,Daytime,299
945,31,Miami-Dade County,Fitness,Medium,Both,266
946,35,Miami-Dade County,Beach,High,Both,368
947,32,Miami-Dade County,Trips Outside Miami,Medium,Nighttime,107
948,32,Miami-Dade County,Day Weekend Activities,High,Daytime,259
949,32,Miami-Dade County,Beach,High,Daytime,332
950,35,Miami-Dade County,Beach,Medium,Both,205
951,32,Miami-Dade County,Beach,High,Daytime,256
952,33,Miami-Dade County,Day Weekend Activities,High,Daytime,116
953,34,Miami-Dade County,Nightlife,High,Nighttime,178
954,31,Miami-Dade County,Day Weekend Activities,High,Both,177
955,31,Miami-Dade County,Beach,Medium,Both,206
956,35,Miami-Dade County,Day Weekend Activities,High,Daytime,247
957,32,Miami-Dade County,Beach,Medium,Nighttime,159
958,32,Miami-Dade County,Fitness,Low,Daytime,373
959,30,Miami-Dade County,Beach,High,Daytime,205
960,34,Miami-Dade County,Nightlife,Low,Both,389
961,33,Miami-Dade County,Fitness,High,Daytime,229
962,31,Miami-Dade County,Day Weekend Activities,Low,Daytime,95
963,30,Miami-Dade County,Fitness,High,Daytime,107
